class,acc,precision,recall,f1
conservative,0.7518248175182481,0.6688311688311688,0.7518248175182481,0.7079037800687286
dressy,0.8432835820895522,0.9826086956521739,0.8432835820895522,0.9076305220883534
ethnic,0.8294573643410853,0.816793893129771,0.8294573643410853,0.823076923076923
fairy,0.9722222222222222,0.9210526315789473,0.9722222222222222,0.9459459459459459
feminine,0.6776859504132231,0.8541666666666666,0.6776859504132231,0.7557603686635944
gal,0.6993006993006993,0.9090909090909091,0.6993006993006993,0.7905138339920948
girlish,0.6506024096385542,0.5966850828729282,0.6506024096385542,0.622478386167147
kireime-casual,0.6075949367088608,0.7164179104477612,0.6075949367088608,0.6575342465753424
lolita,0.9685534591194969,0.9112426035502958,0.9685534591194969,0.9390243902439024
mode,0.6918238993710691,0.7857142857142857,0.6918238993710691,0.7357859531772575
natural,0.8294573643410853,0.7482517482517482,0.8294573643410853,0.7867647058823529
retro,0.7559055118110236,0.6666666666666666,0.7559055118110236,0.7084870848708487
rock,0.9016393442622951,0.6666666666666666,0.9016393442622951,0.7665505226480837
street,0.8246753246753247,0.8581081081081081,0.8246753246753247,0.8410596026490066
