merge_key,semantic,style_fit
dataset2/kireime-casual/a636bed42b610cbb6a78376e787df4ca.jpg,5.0,5.0
dataset2/fairy/12319.jpg,5.0,5.0
dataset2/natural/l81_teiban2.jpg,5.0,5.0
dataset2/street/8ue4c3-i.jpg,5.0,5.0
dataset2/kireime-casual/WS000025-6.jpg,4.0,4.0
dataset2/rock/11d55511ff960205700b1f162a2196cc.jpg,4.0,5.0
dataset2/street/1.0x0 (3).jpg,4.0,5.0
dataset2/dressy/1751055_338.jpg,5.0,5.0
dataset2/girlish/3d286c066077720590e492e614c9bbcc2.jpg,5.0,4.0
dataset2/ethnic/20161226165538743_276.jpg,5.0,3.0
dataset2/gal/6890_thumbnail.jpg,5.0,5.0
dataset2/dressy/_1_rect521.jpg,5.0,5.0
dataset2/lolita/261-0201_09.jpg,5.0,5.0
dataset2/feminine/20141107110205155_500.jpg,5.0,5.0
dataset2/dressy/1_638.jpg,5.0,5.0
dataset2/fairy/b7ba4e718b07eb02a3988eba3c4125f5.jpg,5.0,5.0
dataset2/girlish/o0480064112608624804.jpg,5.0,5.0
dataset2/fairy/69293240.jpg,,
dataset2/lolita/1be347fe3aaf719e21b7851914fd79d2.jpg,5.0,5.0
dataset2/mode/sarah-benziane-is-wearing-a-zara-full-outfit-made-of-gray-shiny-shoes-picture-id626168206.jpg,5.0,5.0
dataset2/rock/7c71e4c3b175def7f7c599b56840435f.jpg,5.0,4.0
dataset2/dressy/カラードレス プリンセス レッド-thumb-autox733-5431.jpg,5.0,5.0
dataset2/kireime-casual/c76d518ba3f2ae0066bc4aab7b4efd6f.jpg,5.0,5.0
dataset2/fairy/1364_large.jpg,5.0,4.0
dataset2/kireime-casual/0c362a09-78f2-4ad5-8a88-e5721a4b6035.jpg,5.0,4.0
dataset2/street/347159b89e32af6c8664a1d0074ad615.jpg,4.0,5.0
dataset2/natural/butkrpizlb9ksua.jpg,5.0,5.0
dataset2/retro/o0479064020160824_225718_size640wh_9440.jpg,4.0,4.0
dataset2/fairy/82bc22887c42e8e02c5c1c4b5db9b6d0.jpg,4.0,5.0
dataset2/natural/entry001.jpg,5.0,4.0
dataset2/girlish/49ef72b19c9b2addea8db508ca9b00b75.jpg,4.0,5.0
dataset2/rock/img-thing.jpg,5.0,4.0
dataset2/retro/DSC_8739.jpg,5.0,5.0
dataset2/feminine/001535941001.jpg,5.0,5.0
dataset2/street/2908545_IMG_5608.jpg_copy_copyu.jpg,5.0,5.0
dataset2/conservative/o0370056913264639865.jpg,5.0,5.0
dataset2/kireime-casual/o0720096013421266998.jpg,5.0,5.0
dataset2/kireime-casual/b1de49c4-f5d2-4583-84ba-a77a3462b87a.jpg,4.0,5.0
dataset2/dressy/04221820_5356344b597bb.jpg,5.0,5.0
dataset2/ethnic/20161216101147007_276.jpg,5.0,4.0
dataset2/kireime-casual/0604200228_5752b544727e7.jpg,5.0,5.0
dataset2/girlish/m_5aaa9bd6dd6b0feb86e78a3bab0b80ce6822178d.jpg,3.0,4.0
dataset2/girlish/5d7dcc39d9205c3a69812d0f940184a1f7240a40 2.jpg,4.0,5.0
dataset2/mode/wang4-265x400.jpg,4.0,5.0
dataset2/mode/534c1ce435bc9962325bfcc983a9edda.jpg,5.0,5.0
dataset2/kireime-casual/or1608-011126-m-05-dl.jpg,5.0,4.0
dataset2/girlish/mig (1).jpg,5.0,5.0
dataset2/girlish/260f6f404e96db38acb42484d59c5843.jpg,5.0,5.0
dataset2/girlish/20160926164217013_276.jpg,5.0,4.0
dataset2/retro/7fcd5ccfeceaff54d20e12492ff2d41a37f1046b.jpg,4.0,4.0
