merge_key,semantic,style_fit
dataset2/fairy/73325493.jpg,5.0,5.0
dataset2/kireime-casual/20170322180203180_276.jpg,5.0,5.0
dataset2/dressy/8c4db2e8-56f4-4ea0-9c14-41117bacaaed-366-510.jpg,5.0,5.0
dataset2/fairy/20140411131244723_500.jpg,4.0,3.0
dataset2/lolita/tumblr_n5wwjecJlH1qcvasso1_500.jpg,5.0,5.0
dataset2/gal/C-pIHs-UIAATrxz.jpg,5.0,4.0
dataset2/kireime-casual/レディース大人服装.jpg,5.0,5.0
dataset2/kireime-casual/20160319160407758_276.jpg,5.0,4.0
dataset2/kireime-casual/cc54b859905d5b630bf9c415e4e0ff56.jpg,3.0,2.0
dataset2/natural/02a.jpg,5.0,5.0
dataset2/rock/Girls-Generation-Hyoyeon.jpg,4.0,5.0
dataset2/ethnic/aeb4f95a4fd79ee8e38071ad8bb716e4.jpg,5.0,5.0
dataset2/kireime-casual/s-483726-e1467372073516.jpg,4.0,4.0
dataset2/mode/denim_daze_20130214_1799754678.jpg,5.0,5.0
dataset2/feminine/images(33).jpg,4.0,4.0
dataset2/conservative/main20150924165304.jpg,5.0,5.0
dataset2/girlish/20160117163536_ta5vda1vhnrgvapg4oopn1oss3_92_alissa&reina2.jpg,5.0,5.0
dataset2/natural/20161108202516141_276.jpg,5.0,5.0
dataset2/dressy/13098758B_16_D_500.jpg,5.0,5.0
dataset2/rock/b12028ab70eda24b6857108fa3d31a78.jpg,5.0,4.0
dataset2/conservative/u6tcixrzrj1wgk9vdp2z.jpg,5.0,5.0
dataset2/mode/-2079340-1486927322.480x480uc.jpg,5.0,5.0
dataset2/lolita/9cd8405145de3381514d29fe1dd363b7.jpg,5.0,5.0
dataset2/conservative/002076837000_04.jpg,4.0,5.0
dataset2/gal/MA_16102018021056.jpg,5.0,5.0
dataset2/gal/93ffd8a3-15cf-467a-9c7a-87197f44400e.JPG,4.0,4.0
dataset2/ethnic/569a72e59cac86c31426b831f61b79a0--bohemian-outfit-bohemian-skirt.jpg,4.0,3.0
dataset2/street/fbf8599bc55085605ae5a60f8f8d94d5.jpg,5.0,5.0
dataset2/lolita/275 copy.jpg,5.0,5.0
dataset2/mode/ee251b1994b3c16c9297edb3ee521394.jpg,5.0,5.0
dataset2/rock/ce0b0cdc.jpg,5.0,3.0
dataset2/ethnic/20150807181008882_276.jpg,5.0,3.0
dataset2/conservative/06.jpg,5.0,5.0
dataset2/mode/streetstyle_mobile_large.jpg,,
dataset2/rock/e5b9e377118ac70a2a0c88cbf47d5f17--alternative-fashion-style-dark-nails.jpg,5.0,5.0
dataset2/feminine/8037-m-05-dl-1.jpg,5.0,5.0
dataset2/lolita/f0209572_1964645.jpg,5.0,5.0
dataset2/conservative/o0480048013719141628.jpg,5.0,5.0
dataset2/street/615f839e94f3451895916ea56de9b50b.jpg,5.0,5.0
dataset2/ethnic/20161219123937940_276.jpg,4.0,2.0
dataset2/street/Hoodies-For-Women-Street-Style-9.jpg,5.0,5.0
dataset2/natural/7bb1948c1e2e4815cfff6c9b1f71a4f3a401f860.jpg,5.0,5.0
dataset2/retro/6845a04e487453cce4d9c6ee184f753b.jpg,5.0,5.0
dataset2/ethnic/04271-215x300.jpg,4.0,3.0
dataset2/natural/coordisnap-752437-4443349-83m9rw8.jpg,5.0,5.0
dataset2/natural/45bc4e0dedb72a975454befa0feeb80e.jpg,5.0,5.0
dataset2/gal/108893606.jpg,5.0,5.0
dataset2/gal/75102264.jpg,4.0,5.0
dataset2/fairy/o0298044812943259800.jpg,5.0,4.0
dataset2/feminine/49ef72b19c9b2addea8db508ca9b00b79.jpg,5.0,5.0
