merge_key,semantic,style_fit
dataset2/conservative/359d39588666496adddb65d5c569d98e.jpg,5.0,4.0
dataset2/fairy/o0298044812943259800.jpg,4.0,3.0
dataset2/girlish/大学生可愛いワンピースファッションコーデ着こなし.jpg,5.0,5.0
dataset2/lolita/3e3d0eac77c0ec7c5eacadf0d022df3e.jpg,5.0,5.0
dataset2/dressy/2015012417045067387.jpg,5.0,5.0
dataset2/lolita/4095523537_5c3ca98afa_z copy.jpg,5.0,5.0
dataset2/dressy/Adogirlセクシーなパーティー2016オフsholderフォーマルドレスvestidoデformaturaロンゴゴージャスフリルアクセント熱い黒パーティードレス.jpg,5.0,5.0
dataset2/street/7af37ce3e3efeb7cc9f06e0c5eccea05.jpg,5.0,5.0
dataset2/dressy/LMD-00067-12-140117-0011.jpg,5.0,5.0
dataset2/rock/eb3ed6765d5aae53fb2731bad02c01c2.jpg,5.0,5.0
dataset2/street/article-0-194E9BEC000005DC-163_634x824.jpg,5.0,5.0
dataset2/fairy/2644941ff8044c771e74706058eb9c62.jpg,5.0,5.0
dataset2/feminine/ca116155d2e93c90f9c70cef2ebc54f3.jpg,4.0,4.0
dataset2/conservative/夏の白シャツ大人なレディースコーデ　１.png,5.0,4.0
dataset2/conservative/aa9e94b094151001b0467f284670e9d6.jpg,4.0,5.0
dataset2/fairy/626ab1f7b81330b3f1c4b8f65748d466.jpg,5.0,5.0
dataset2/kireime-casual/20160924163817252_1000.jpg,5.0,5.0
dataset2/girlish/mig (1).jpg,5.0,5.0
dataset2/fairy/BaSip52CMAE8_Wg.jpg,5.0,3.0
dataset2/retro/Trixie-Dress-Teal-Red-Accessories-Kaci.jpg,5.0,2.0
dataset2/mode/c67ec00877550ff448124cfa8b50b5e4.jpg,5.0,5.0
dataset2/mode/london-fashion-week-street-style-spring-summer-2014-13a-950827_H175245_L.jpg,4.0,4.0
dataset2/mode/owens-rs16-1624.jpg,4.0,5.0
dataset2/kireime-casual/12-15.jpg,4.0,5.0
dataset2/conservative/58943_1481_dca265234c9046fd0b0ea1f26994f529.jpg,5.0,5.0
dataset2/kireime-casual/o0800080013412180082.jpg,,
dataset2/lolita/tumblr_nerw4oCcxg1rsd1pdo1_1280.jpg,5.0,5.0
dataset2/rock/o0416064011438986698.jpg,5.0,5.0
dataset2/dressy/2013052513332066422_1.jpg,5.0,5.0
dataset2/lolita/image-85ca4.jpg,,
dataset2/conservative/aeaf7eed1ec1c3786c9206f01acbca6f30bddef8_l.jpg,4.0,5.0
dataset2/kireime-casual/o0480064113425956659.jpg,5.0,5.0
dataset2/street/efef494963d07da1f6e241a12732d825.jpg,5.0,5.0
dataset2/dressy/00010015-868713606233-01803-1.jpg,5.0,5.0
dataset2/dressy/20120721_sasaki_44.jpg,5.0,5.0
dataset2/gal/175049726_1.jpg,5.0,5.0
dataset2/retro/920d6d671e1e7289f93847b4571f05d0.jpg,4.0,5.0
dataset2/gal/o0567082213212950228 copy.jpg,5.0,5.0
dataset2/dressy/ar-5705.jpg,4.0,5.0
dataset2/street/40af8433fb85f2500650a45a3cb311b5.jpg,5.0,5.0
dataset2/gal/20150324115306270_500.jpg,5.0,5.0
dataset2/conservative/u6tcixrzrj1wgk9vdp2z.jpg,4.0,5.0
dataset2/mode/elle-nyfw-fw17-collections-alexander-wang-08-imaxtree.jpg,5.0,5.0
dataset2/girlish/20170306152306668_276.jpg,5.0,4.0
dataset2/rock/il_570xN.515492088_h0k9.jpg,5.0,5.0
dataset2/girlish/e830fe62c78c0104e646314a58eb4a15.jpg,5.0,5.0
dataset2/feminine/images(33).jpg,4.0,5.0
dataset2/conservative/5eaac057.jpg,4.0,3.0
dataset2/natural/coordisnap-2248597-4491515-43l0ly4.jpg,5.0,5.0
dataset2/mode/128533_eb0f903f37.jpg,4.0,4.0
