seed,qwen_test_macro_f1,qwen_test_acc_frac,qwen_best_val_macro_f1,llava_test_macro_f1,llava_test_acc_frac,llava_best_val_macro_f1,delta_test_macro_f1,delta_test_acc_frac,delta_best_val_macro_f1
13,0.34476919565975633,0.38585858585858585,0.3707765871754135,0.27976435918089465,0.32191435768261967,0.26878320615343143,0.06500483647886168,0.06394422817596618,0.10199338102198208
14,0.37214966673644145,0.4157416750756811,0.3574489466467395,0.27535189261637955,0.31284634760705293,0.2582579530282252,0.09679777412006191,0.10289532746862817,0.0991909936185143
16,0.36194020282160716,0.4056508577194753,0.33979764485175784,0.2764770161376282,0.3229219143576826,0.2722141019023575,0.08546318668397895,0.0827289433617927,0.06758354294940033
17,0.3492135791139136,0.3890853966649823,0.34958423561260504,0.29242660286889627,0.3309823677581864,0.27502359155229483,0.05678697624501733,0.05810302890679592,0.07456064406031021
45,0.35041742663256154,0.3897876643073812,0.3575405103296016,0.27635029181378473,0.3188916876574307,0.2822213019226664,0.0740671348187768,0.07089597664995051,0.07531920840693518
48,0.34653445170933284,0.39545454545454545,0.34956260610335077,0.26552593009464837,0.30730478589420657,0.2662224632320507,0.08100852161468447,0.08814975956033888,0.0833401428713001
53,0.3526278710440711,0.39959534648457257,0.35391969421894315,0.2724412224450154,0.31687657430730476,0.26497769568511476,0.08018664859905572,0.08271877217726781,0.08894199853382839
58,0.3612127293586217,0.4034378159757331,0.3527824224870143,0.2743891497697123,0.3204030226700252,0.2674790078398906,0.0868235795889094,0.0830347933057079,0.08530341464712371
72,0.3543156505030187,0.39989914271306104,0.3566894975623143,0.2762168693819055,0.3209068010075567,0.2782137326121506,0.07809878112111324,0.07899234170550434,0.07847576495016367
102,0.35534876505258695,0.39989914271306104,0.35844849711064347,0.27034091031763563,0.3123425692695214,0.2785436887260933,0.08500785473495132,0.08755657344353962,0.07990480838455016
112,0.35619771885170143,0.4017137096774194,0.3624389540387127,0.27498706654778243,0.31738035264483627,0.2696316457305499,0.081210652303919,0.0843333570325831,0.0928073083081628
115,0.36407198393158235,0.4113188479029813,0.3738710688327493,0.24971728990098926,0.3002518891687657,0.2891651570077146,0.11435469403059309,0.11106695873421557,0.08470591182503467
120,0.36270155604682025,0.4072764022233451,0.3650845139162514,0.28336953851790725,0.32594458438287155,0.2802290453208157,0.079332017528913,0.08133181784047355,0.08485546859543569
126,0.3545150321688496,0.3984848484848485,0.3436484625535949,0.26440838254340854,0.3103274559193955,0.2784346375359573,0.09010664962544107,0.08815739256545302,0.06521382501763756
141,0.346363725149089,0.39220647773279355,0.35707434651947,0.27561725638007356,0.32544080604534004,0.2727830619102237,0.07074646876901541,0.06676567168745351,0.08429128460924629
215,0.3526281720934544,0.40342914775592537,0.33655342542053907,0.27788524687678684,0.3249370277078086,0.27998326542045743,0.07474292521666753,0.07849212004811679,0.05657016000008164
217,0.35652342753929206,0.4023220595658758,0.36001493979537263,0.2749572127515106,0.3198992443324937,0.27100165203509,0.08156621478778148,0.08242281523338207,0.08901328776028261
259,0.35316893399165566,0.397979797979798,0.36104019142676425,0.26380409772463004,0.31083123425692694,0.27990827355714865,0.08936483626702563,0.08714856372287105,0.0811319178696156
280,0.3420664826016696,0.3856638061585058,0.35632250034585505,0.2758997625964688,0.3229219143576826,0.2688289824671198,0.0661667200052008,0.06274189180082324,0.08749351787873527
288,0.3476189025509554,0.3943377148634985,0.3627911727444491,0.26959647815655025,0.30428211586901766,0.2813986391583552,0.07802242439440515,0.09005559899448085,0.08139253358609388
303,0.36008360843322595,0.4027286508337544,0.35345002710122253,0.26726593980076496,0.30831234256926954,0.26776634712193775,0.09281766863246099,0.09441630826448488,0.08568367997928478
309,0.3465069404888261,0.3874873864783047,0.3398528016235239,0.287388829924769,0.329471032745592,0.2609315310503843,0.05911811056405708,0.058016353732712744,0.07892127057313958
328,0.35016857416125485,0.393633148054573,0.37626415226617926,0.2763762572158332,0.31738035264483627,0.25444930995091375,0.07379231694542165,0.07625279540973673,0.12181484231526551
333,0.36153957622788363,0.40870005058168946,0.3516327007982292,0.2737794314482241,0.31687657430730476,0.2777171460418055,0.08776014477965954,0.0918234762743847,0.07391555475642375
347,0.36622101144979485,0.41456016177957533,0.3701078940484096,0.26371807570227535,0.3002518891687657,0.28592398002562097,0.10250293574751951,0.11430827261080961,0.08418391402278863
360,0.3539506425191696,0.3967693084300858,0.36633814406945125,0.28257338198719634,0.32896725440806046,0.28499771015283704,0.07137726053197324,0.06780205402202533,0.08134043391661422
367,0.3462240485701774,0.3872598584428716,0.36645813337644284,0.2924189659379998,0.326448362720403,0.2820031618380917,0.05380508263217759,0.06081149572246858,0.08445497153835113
378,0.35271773675449547,0.3929292929292929,0.37286599000711934,0.26443338340814043,0.30831234256926954,0.2630754625179544,0.08828435334635504,0.08461695036002337,0.10979052748916496
380,0.3652046840875126,0.4079878665318504,0.3692354771733005,0.279343927470536,0.3244332493702771,0.2552289747820319,0.08586075661697662,0.08355461716157325,0.11400650239126864
457,0.3608671444588884,0.4048460373548713,0.35438262211031635,0.2773184214765292,0.31838790931989924,0.2816796950328314,0.08354872298235921,0.08645812803497205,0.07270292707748494
