class,acc,precision,recall,f1
conservative,0.6086956521739131,0.717948717948718,0.6086956521739131,0.6588235294117647
dressy,0.9185185185185185,0.9841269841269841,0.9185185185185185,0.9501915708812261
ethnic,0.7829457364341085,0.808,0.7829457364341085,0.7952755905511811
fairy,0.8671328671328671,0.9612403100775194,0.8671328671328671,0.9117647058823529
feminine,0.8264462809917356,0.6060606060606061,0.8264462809917356,0.6993006993006993
gal,0.7692307692307693,0.7586206896551724,0.7692307692307693,0.7638888888888888
girlish,0.6927710843373494,0.5424528301886793,0.6927710843373494,0.6084656084656085
kireime-casual,0.7658227848101266,0.5761904761904761,0.7658227848101266,0.657608695652174
lolita,1.0,0.903954802259887,1.0,0.9495548961424333
mode,0.5345911949685535,0.9139784946236559,0.5345911949685535,0.6746031746031746
natural,0.5891472868217055,0.7916666666666666,0.5891472868217055,0.6755555555555556
retro,0.6141732283464567,0.8571428571428571,0.6141732283464567,0.7155963302752294
rock,0.7520661157024794,0.7520661157024794,0.7520661157024794,0.7520661157024794
street,0.869281045751634,0.76,0.869281045751634,0.8109756097560976
