class,acc,precision,recall,f1
conservative,0.6204379562043796,0.8415841584158416,0.6204379562043796,0.7142857142857143
dressy,0.8888888888888888,0.975609756097561,0.8888888888888888,0.9302325581395349
ethnic,0.8527131782945736,0.8396946564885496,0.8527131782945736,0.8461538461538461
fairy,0.9444444444444444,0.912751677852349,0.9444444444444444,0.9283276450511946
feminine,0.8925619834710744,0.6206896551724138,0.8925619834710744,0.7322033898305085
gal,0.7412587412587412,0.8153846153846154,0.7412587412587412,0.7765567765567766
girlish,0.5903614457831325,0.7368421052631579,0.5903614457831325,0.6555183946488294
kireime-casual,0.7278481012658228,0.6216216216216216,0.7278481012658228,0.6705539358600583
lolita,0.9874213836477987,0.9235294117647059,0.9874213836477987,0.9544072948328267
mode,0.8616352201257862,0.7611111111111111,0.8616352201257862,0.8082595870206489
natural,0.7829457364341085,0.808,0.7829457364341085,0.7952755905511811
retro,0.7795275590551181,0.7021276595744681,0.7795275590551181,0.7388059701492538
rock,0.819672131147541,0.8771929824561403,0.819672131147541,0.847457627118644
street,0.738562091503268,0.8968253968253969,0.738562091503268,0.8100358422939068
