class,acc,precision,recall,f1
conservative,0.7971014492753623,0.582010582010582,0.7971014492753623,0.672782874617737
dressy,0.9402985074626866,0.9618320610687023,0.9402985074626866,0.9509433962264151
ethnic,0.751937984496124,0.9065420560747663,0.751937984496124,0.8220338983050848
fairy,0.9444444444444444,0.9645390070921985,0.9444444444444444,0.9543859649122807
feminine,0.8512396694214877,0.5919540229885057,0.8512396694214877,0.6983050847457627
gal,0.6923076923076923,0.8048780487804879,0.6923076923076923,0.7443609022556391
girlish,0.5602409638554217,0.5923566878980892,0.5602409638554217,0.5758513931888545
kireime-casual,0.5632911392405063,0.717741935483871,0.5632911392405063,0.6312056737588653
lolita,0.949685534591195,0.949685534591195,0.949685534591195,0.949685534591195
mode,0.710691823899371,0.7635135135135135,0.710691823899371,0.7361563517915309
natural,0.689922480620155,0.839622641509434,0.689922480620155,0.7574468085106383
retro,0.6850393700787402,0.7837837837837838,0.6850393700787402,0.7310924369747899
rock,0.8016528925619835,0.6598639455782312,0.8016528925619835,0.7238805970149254
street,0.8636363636363636,0.806060606060606,0.8636363636363636,0.8338557993730408
