true,pred,confidence,correct
3,1,0.5395376682281494,False
5,1,0.5395376086235046,False
13,1,0.5395375490188599,False
12,1,0.5395376086235046,False
9,1,0.5395377278327942,False
10,1,0.5395378470420837,False
5,1,0.5395376682281494,False
0,1,0.5395375490188599,False
2,1,0.5395375490188599,False
12,1,0.5395375490188599,False
11,1,0.5395375490188599,False
6,1,0.5395375490188599,False
9,1,0.5395375490188599,False
2,1,0.5395375490188599,False
12,1,0.5395376682281494,False
9,1,0.5395375490188599,False
7,1,0.5395374298095703,False
0,1,0.539537787437439,False
9,1,0.5395378470420837,False
0,1,0.5395376682281494,False
3,1,0.5395375490188599,False
12,1,0.5395374298095703,False
9,1,0.5395376086235046,False
13,1,0.5395373702049255,False
8,1,0.5395377278327942,False
2,1,0.5395374894142151,False
1,1,0.5395374894142151,True
0,1,0.5395376086235046,False
10,1,0.5395376086235046,False
3,1,0.5395375490188599,False
7,1,0.5395376682281494,False
10,1,0.5395376682281494,False
2,1,0.5395376682281494,False
7,1,0.5395375490188599,False
11,1,0.5395376682281494,False
11,1,0.5395374298095703,False
11,1,0.5395374298095703,False
2,1,0.539537787437439,False
0,1,0.5395376682281494,False
10,1,0.5395376682281494,False
9,1,0.5395374894142151,False
4,1,0.5395374894142151,False
7,1,0.5395374894142151,False
5,1,0.5395375490188599,False
9,1,0.5395375490188599,False
10,1,0.5395377278327942,False
4,1,0.5395376086235046,False
6,1,0.5395376682281494,False
1,1,0.5395375490188599,True
6,1,0.5395377278327942,False
13,1,0.5395378470420837,False
3,1,0.5395377278327942,False
9,1,0.539537787437439,False
13,1,0.5395374894142151,False
11,1,0.5395377278327942,False
1,1,0.5395377278327942,True
7,1,0.5395376086235046,False
9,1,0.5395375490188599,False
12,1,0.5395374894142151,False
9,1,0.5395376682281494,False
8,1,0.5395378470420837,False
4,1,0.5395374894142151,False
7,1,0.5395375490188599,False
13,1,0.5395378470420837,False
10,1,0.5395375490188599,False
6,1,0.539537787437439,False
7,1,0.5395374894142151,False
4,1,0.5395375490188599,False
5,1,0.5395375490188599,False
13,1,0.5395378470420837,False
10,1,0.5395376682281494,False
8,1,0.5395376086235046,False
6,1,0.5395374894142151,False
10,1,0.5395376682281494,False
11,1,0.5395374894142151,False
9,1,0.5395374894142151,False
13,1,0.5395375490188599,False
5,1,0.5395377278327942,False
5,1,0.5395375490188599,False
8,1,0.5395374894142151,False
8,1,0.5395374894142151,False
6,1,0.5395377278327942,False
10,1,0.539537787437439,False
3,1,0.5395375490188599,False
4,1,0.5395375490188599,False
2,1,0.5395375490188599,False
1,1,0.5395374298095703,True
3,1,0.5395378470420837,False
7,1,0.5395376682281494,False
6,1,0.5395376682281494,False
0,1,0.5395376086235046,False
8,1,0.5395374894142151,False
6,1,0.5395377278327942,False
1,1,0.5395375490188599,True
13,1,0.539537787437439,False
7,1,0.5395375490188599,False
8,1,0.5395378470420837,False
13,1,0.5395376682281494,False
7,1,0.5395374298095703,False
9,1,0.5395376682281494,False
11,1,0.5395375490188599,False
6,1,0.5395374894142151,False
11,1,0.5395376086235046,False
1,1,0.5395376682281494,True
13,1,0.5395374894142151,False
11,1,0.5395375490188599,False
4,1,0.5395377278327942,False
11,1,0.5395375490188599,False
3,1,0.539537787437439,False
10,1,0.5395375490188599,False
13,1,0.5395377278327942,False
8,1,0.5395374894142151,False
13,1,0.5395374894142151,False
9,1,0.5395375490188599,False
6,1,0.5395374298095703,False
5,1,0.5395376086235046,False
