merge_key,style,blip_itm_score
dataset2/kireime-casual/683054945a1f83ebc341d7f69ff4e21f.jpg,kireime-casual,0.99990153
dataset2/gal/05d54f7d94e86ccdb053a601b61a374c.jpg,gal,0.9996908
dataset2/lolita/094.jpg,lolita,0.99457115
dataset2/street/667fc40337b36ee2d05e53f4a53285a9.jpg,street,0.99970216
dataset2/mode/Vera_Wang_01_2000.jpg,mode,0.9990134
dataset2/dressy/カラードレス プリンセス レッド-thumb-autox733-5431.jpg,dressy,0.996959
dataset2/mode/77ea80a355bea29e1f81f29b76ab6339.jpg,mode,0.9999274
dataset2/rock/Ashley-Tisdale_121210.jpg,rock,0.9936255
dataset2/gal/code_02.jpg,gal,0.9995363
dataset2/gal/f461fd660c704cc41c6c785766494340c15812a9.41.2.9.2.jpeg,gal,0.99945325
dataset2/gal/aw90027-1.jpg,gal,0.9995291
dataset2/lolita/261-0201_08.jpg,lolita,0.9997079
dataset2/mode/60a15656206cdcdd1092a559f0c233bb.jpg,mode,0.99973387
dataset2/girlish/o0330050012956388182 2.jpg,girlish,0.9997192
dataset2/street/Sanusi-Lagos-Meet-The-Pushas-2015-Editorial-BellaNaija-June20150010.jpg,street,0.999864
dataset2/street/d4aee4086a109b0f484d2c61996fb77c.jpg,street,0.9998969
dataset2/gal/coordisnap-2287956-3108044-12fn7p4.jpg,gal,0.99688894
dataset2/girlish/o1108147813894839916 copy 2.jpg,girlish,0.9980027
dataset2/conservative/s-1201.jpg,conservative,0.9972397
dataset2/gal/wpid-570bd975812cf_L.jpeg,gal,0.9381609
dataset2/kireime-casual/18_l.jpg,kireime-casual,0.99545896
dataset2/ethnic/d5f3a7877993a23e8e237e3e84b2eb8a--bohemian-outfit-bohemian-dresses.jpg,ethnic,0.9213256
dataset2/girlish/20150306072832159_276.jpg,girlish,0.9996408
dataset2/conservative/1df2eb3dd6230dcdb1f6ab769e990c62.jpg,conservative,0.99845064
dataset2/rock/bd2b8fc9ae8c84a52d0c5d93fa56070f.jpg,rock,0.986115
