seed,model,case_type,true,pred,file
48,clip,success,ethnic,ethnic,clip\seed_48\success_00.png
48,clip,success,rock,rock,clip\seed_48\success_01.png
48,clip,success,girlish,girlish,clip\seed_48\success_02.png
48,clip,success,dressy,dressy,clip\seed_48\success_03.png
48,clip,success,lolita,lolita,clip\seed_48\success_04.png
48,clip,success,girlish,girlish,clip\seed_48\success_05.png
48,clip,failure,retro,lolita,clip\seed_48\failure_00.png
48,clip,failure,conservative,kireime-casual,clip\seed_48\failure_01.png
48,clip,failure,street,mode,clip\seed_48\failure_02.png
48,clip,failure,girlish,conservative,clip\seed_48\failure_03.png
48,clip,failure,kireime-casual,conservative,clip\seed_48\failure_04.png
48,clip,failure,girlish,feminine,clip\seed_48\failure_05.png
