seed,model,case_type,true,pred,file
72,clip,success,dressy,dressy,clip\seed_72\success_00.png
72,clip,success,conservative,conservative,clip\seed_72\success_01.png
72,clip,success,dressy,dressy,clip\seed_72\success_02.png
72,clip,success,lolita,lolita,clip\seed_72\success_03.png
72,clip,success,dressy,dressy,clip\seed_72\success_04.png
72,clip,success,retro,retro,clip\seed_72\success_05.png
72,clip,failure,kireime-casual,ethnic,clip\seed_72\failure_00.png
72,clip,failure,mode,rock,clip\seed_72\failure_01.png
72,clip,failure,conservative,girlish,clip\seed_72\failure_02.png
72,clip,failure,feminine,gal,clip\seed_72\failure_03.png
72,clip,failure,gal,retro,clip\seed_72\failure_04.png
72,clip,failure,retro,girlish,clip\seed_72\failure_05.png
