seed,model,case_type,true,pred,file
72,cross_attention,success,dressy,dressy,cross_attention\seed_72\success_00.png
72,cross_attention,success,conservative,conservative,cross_attention\seed_72\success_01.png
72,cross_attention,success,dressy,dressy,cross_attention\seed_72\success_02.png
72,cross_attention,success,lolita,lolita,cross_attention\seed_72\success_03.png
72,cross_attention,success,dressy,dressy,cross_attention\seed_72\success_04.png
72,cross_attention,success,retro,retro,cross_attention\seed_72\success_05.png
72,cross_attention,failure,kireime-casual,retro,cross_attention\seed_72\failure_00.png
72,cross_attention,failure,girlish,retro,cross_attention\seed_72\failure_01.png
72,cross_attention,failure,mode,rock,cross_attention\seed_72\failure_02.png
72,cross_attention,failure,ethnic,gal,cross_attention\seed_72\failure_03.png
72,cross_attention,failure,gal,feminine,cross_attention\seed_72\failure_04.png
72,cross_attention,failure,gal,feminine,cross_attention\seed_72\failure_05.png
