seed,model,case_type,true,pred,file
53,clip,success,fairy,fairy,clip\seed_53\success_00.png
53,clip,success,gal,gal,clip\seed_53\success_01.png
53,clip,success,street,street,clip\seed_53\success_02.png
53,clip,success,rock,rock,clip\seed_53\success_03.png
53,clip,success,mode,mode,clip\seed_53\success_04.png
53,clip,success,natural,natural,clip\seed_53\success_05.png
53,clip,failure,conservative,retro,clip\seed_53\failure_00.png
53,clip,failure,kireime-casual,ethnic,clip\seed_53\failure_01.png
53,clip,failure,conservative,girlish,clip\seed_53\failure_02.png
53,clip,failure,mode,street,clip\seed_53\failure_03.png
53,clip,failure,conservative,girlish,clip\seed_53\failure_04.png
53,clip,failure,fairy,lolita,clip\seed_53\failure_05.png
