seed,model,case_type,true,pred,file
102,clip,success,retro,retro,clip\seed_102\success_00.png
102,clip,success,natural,natural,clip\seed_102\success_01.png
102,clip,success,rock,rock,clip\seed_102\success_02.png
102,clip,success,dressy,dressy,clip\seed_102\success_03.png
102,clip,success,kireime-casual,kireime-casual,clip\seed_102\success_04.png
102,clip,success,fairy,fairy,clip\seed_102\success_05.png
102,clip,failure,kireime-casual,conservative,clip\seed_102\failure_00.png
102,clip,failure,mode,rock,clip\seed_102\failure_01.png
102,clip,failure,dressy,gal,clip\seed_102\failure_02.png
102,clip,failure,girlish,street,clip\seed_102\failure_03.png
102,clip,failure,conservative,feminine,clip\seed_102\failure_04.png
102,clip,failure,girlish,gal,clip\seed_102\failure_05.png
