seed,model,case_type,true,pred,file
53,cross_attention,success,fairy,fairy,cross_attention\seed_53\success_00.png
53,cross_attention,success,gal,gal,cross_attention\seed_53\success_01.png
53,cross_attention,success,street,street,cross_attention\seed_53\success_02.png
53,cross_attention,success,rock,rock,cross_attention\seed_53\success_03.png
53,cross_attention,success,mode,mode,cross_attention\seed_53\success_04.png
53,cross_attention,success,natural,natural,cross_attention\seed_53\success_05.png
53,cross_attention,failure,gal,feminine,cross_attention\seed_53\failure_00.png
53,cross_attention,failure,conservative,retro,cross_attention\seed_53\failure_01.png
53,cross_attention,failure,rock,mode,cross_attention\seed_53\failure_02.png
53,cross_attention,failure,kireime-casual,ethnic,cross_attention\seed_53\failure_03.png
53,cross_attention,failure,conservative,kireime-casual,cross_attention\seed_53\failure_04.png
53,cross_attention,failure,mode,rock,cross_attention\seed_53\failure_05.png
