seed,model,case_type,true,pred,file
45,cross_attention,success,gal,gal,cross_attention\seed_45\success_00.png
45,cross_attention,success,street,street,cross_attention\seed_45\success_01.png
45,cross_attention,success,retro,retro,cross_attention\seed_45\success_02.png
45,cross_attention,success,fairy,fairy,cross_attention\seed_45\success_03.png
45,cross_attention,success,conservative,conservative,cross_attention\seed_45\success_04.png
45,cross_attention,success,lolita,lolita,cross_attention\seed_45\success_05.png
45,cross_attention,failure,retro,ethnic,cross_attention\seed_45\failure_00.png
45,cross_attention,failure,retro,girlish,cross_attention\seed_45\failure_01.png
45,cross_attention,failure,retro,girlish,cross_attention\seed_45\failure_02.png
45,cross_attention,failure,gal,ethnic,cross_attention\seed_45\failure_03.png
45,cross_attention,failure,dressy,gal,cross_attention\seed_45\failure_04.png
45,cross_attention,failure,street,girlish,cross_attention\seed_45\failure_05.png
