class,acc,precision,recall,f1
conservative,0.7028985507246377,0.7404580152671756,0.7028985507246377,0.7211895910780669
dressy,0.9629629629629629,0.9219858156028369,0.9629629629629629,0.9420289855072463
ethnic,0.8914728682170543,0.782312925170068,0.8914728682170543,0.8333333333333334
fairy,0.986013986013986,0.8057142857142857,0.986013986013986,0.8867924528301887
feminine,0.6528925619834711,0.79,0.6528925619834711,0.7149321266968326
gal,0.8111888111888111,0.6987951807228916,0.8111888111888111,0.7508090614886731
girlish,0.5542168674698795,0.7076923076923077,0.5542168674698795,0.6216216216216216
kireime-casual,0.5822784810126582,0.7666666666666667,0.5822784810126582,0.6618705035971223
lolita,0.9308176100628931,0.9801324503311258,0.9308176100628931,0.9548387096774194
mode,0.9245283018867925,0.6125,0.9245283018867925,0.7368421052631579
natural,0.7209302325581395,0.8157894736842105,0.7209302325581395,0.7654320987654321
retro,0.6929133858267716,0.7719298245614035,0.6929133858267716,0.7302904564315352
rock,0.7272727272727273,0.7857142857142857,0.7272727272727273,0.7553648068669528
street,0.8051948051948052,0.8794326241134752,0.8051948051948052,0.8406779661016949
