merge_key,semantic,style_fit
dataset/dressy/dressy_851.jpg,5.0,5.0
dataset/feminine/feminine_423.jpg,2.0,4.0
dataset/lolita/lolita_508.jpg,4.0,5.0
dataset/dressy/dressy_386.jpg,5.0,4.0
dataset/mode/mode_680.jpg,2.0,3.0
dataset/gal/gal_81.jpg,,
dataset/street/street_765.jpg,5.0,4.0
dataset/kireime-casual/kireime-casual_26.jpg,5.0,5.0
dataset/street/street_1016.jpg,4.0,5.0
dataset/conservative/conservative_544.jpg,5.0,3.0
dataset/street/street_54.jpg,4.0,5.0
dataset/dressy/dressy_513.jpg,5.0,5.0
dataset/natural/natural_115.jpg,4.0,4.0
dataset/natural/natural_402.jpeg,,
dataset/lolita/lolita_721.jpg,5.0,5.0
dataset/kireime-casual/kireime-casual_961.jpg,4.0,4.0
dataset/street/street_109.jpg,5.0,5.0
dataset/fairy/fairy_657.jpg,4.0,3.0
dataset/rock/rock_501.jpg,4.0,5.0
dataset/gal/gal_343.jpg,4.0,4.0
dataset/rock/rock_18.jpg,4.0,4.0
dataset/feminine/feminine_425.jpg,2.0,3.0
dataset/girlish/girlish_312.jpg,4.0,4.0
dataset/fairy/fairy_899.jpg,5.0,4.0
dataset/ethnic/ethnic_315.jpg,3.0,2.0
dataset/lolita/lolita_231.jpg,4.0,5.0
dataset/lolita/lolita_541.jpg,4.0,5.0
dataset/street/street_305.jpg,5.0,5.0
dataset/ethnic/ethnic_808.jpg,4.0,4.0
dataset/mode/mode_443.jpg,,
dataset/dressy/dressy_579.jpg,4.0,5.0
dataset/conservative/conservative_368.jpg,4.0,3.0
dataset/girlish/girlish_802.jpg,4.0,3.0
dataset/lolita/lolita_620.jpg,3.0,4.0
dataset/dressy/dressy_196.jpg,5.0,5.0
dataset/mode/mode_522.jpg,5.0,5.0
dataset/lolita/lolita_182.jpg,5.0,4.0
dataset/street/street_390.jpg,5.0,3.0
dataset/mode/mode_408.jpg,3.0,3.0
dataset/fairy/fairy_93.jpg,4.0,5.0
dataset/mode/mode_825.jpg,4.0,4.0
dataset/kireime-casual/kireime-casual_1029.jpeg,2.0,3.0
dataset/mode/mode_160.jpg,4.0,5.0
dataset/mode/mode_999.jpg,5.0,5.0
dataset/lolita/lolita_363.jpg,3.0,4.0
dataset/feminine/feminine_764.jpg,4.0,4.0
dataset/conservative/conservative_660.jpg,4.0,3.0
dataset/retro/retro_383.jpg,3.0,4.0
dataset/retro/retro_25.jpg,5.0,5.0
dataset/fairy/fairy_185.jpg,5.0,4.0
