seed,model,case_type,true,pred,file
13,cross_attention,success,mode,mode,cross_attention\seed_13\success_00.png
13,cross_attention,success,mode,mode,cross_attention\seed_13\success_01.png
13,cross_attention,success,ethnic,ethnic,cross_attention\seed_13\success_02.png
13,cross_attention,success,natural,natural,cross_attention\seed_13\success_03.png
13,cross_attention,success,mode,mode,cross_attention\seed_13\success_04.png
13,cross_attention,success,conservative,conservative,cross_attention\seed_13\success_05.png
13,cross_attention,failure,retro,feminine,cross_attention\seed_13\failure_00.png
13,cross_attention,failure,retro,girlish,cross_attention\seed_13\failure_01.png
13,cross_attention,failure,retro,fairy,cross_attention\seed_13\failure_02.png
13,cross_attention,failure,girlish,gal,cross_attention\seed_13\failure_03.png
13,cross_attention,failure,mode,street,cross_attention\seed_13\failure_04.png
13,cross_attention,failure,natural,girlish,cross_attention\seed_13\failure_05.png
